date,State,Type,Confirmed
Jul 1 2014,Queensland,A and B,0
Jul 1 2014,Queensland,Untyped,0
Jul 1 2014,South Australia,A(H1N1)pdm09,59
Jul 1 2014,South Australia,A(H3N2),0
Jul 1 2014,South Australia,A(unsubtyped),524
Jul 1 2014,South Australia,B,38
Jul 1 2014,South Australia,C,0
Jul 1 2014,South Australia,A and B,0
Jul 1 2014,South Australia,Untyped,0
Jul 1 2014,Tasmania,A(H1N1)pdm09,26
Jul 1 2014,Tasmania,A(H3N2),1
Jul 1 2014,Tasmania,A(unsubtyped),37
Jul 1 2014,Tasmania,B,2
Jul 1 2014,Tasmania,C,0
Jul 1 2014,Tasmania,A and B,0
Jul 1 2014,Tasmania,Untyped,0
Jul 1 2014,Victoria,A(H1N1)pdm09,175
Jul 1 2014,Victoria,A(H3N2),11
Jul 1 2014,Victoria,A(unsubtyped),675
Jul 1 2014,Victoria,B,28
Jul 1 2014,Victoria,C,0
Jul 1 2014,Victoria,A and B,1
Jul 1 2014,Victoria,Untyped,0
Jul 1 2014,Western Australia,A(H1N1)pdm09,403
Jul 1 2014,Western Australia,A(H3N2),107
Jul 1 2014,Western Australia,A(unsubtyped),138
Jul 1 2014,Western Australia,B,65
Jul 1 2014,Western Australia,C,0
Jul 1 2014,Western Australia,A and B,0
Jul 1 2014,Western Australia,Untyped,0
Aug 1 2014,New South Wales,A(H1N1)pdm09,879
Aug 1 2014,New South Wales,A(H3N2),1933
Aug 1 2014,New South Wales,A(unsubtyped),7278
Aug 1 2014,New South Wales,B,1017
Aug 1 2014,New South Wales,C,0
Aug 1 2014,New South Wales,A and B,20
Aug 1 2014,New South Wales,Untyped,9
Aug 1 2014,Northern Territory,A(H1N1)pdm09,13
Aug 1 2014,Northern Territory,A(H3N2),8
Aug 1 2014,Northern Territory,A(unsubtyped),147
Aug 1 2014,Northern Territory,B,4
Aug 1 2014,Northern Territory,C,0
Aug 1 2014,Northern Territory,A and B,0
Aug 1 2014,Northern Territory,Untyped,0
Aug 1 2014,Queensland,A(H1N1)pdm09,617
Aug 1 2014,Queensland,A(H3N2),220
Aug 1 2014,Queensland,A(unsubtyped),5949
Aug 1 2014,Queensland,B,749
Aug 1 2014,Queensland,C,0
Aug 1 2014,Queensland,A and B,0
Aug 1 2014,Queensland,Untyped,0
Aug 1 2014,South Australia,A(H1N1)pdm09,98
Aug 1 2014,South Australia,A(H3N2),0
Aug 1 2014,South Australia,A(unsubtyped),3554
Aug 1 2014,South Australia,B,144
Aug 1 2014,South Australia,C,0
Aug 1 2014,South Australia,A and B,0
Aug 1 2014,South Australia,Untyped,0
Aug 1 2014,Tasmania,A(H1N1)pdm09,94
Aug 1 2014,Tasmania,A(H3N2),13
Aug 1 2014,Tasmania,A(unsubtyped),115
Aug 1 2014,Tasmania,B,23
Aug 1 2014,Tasmania,C,0
Aug 1 2014,Tasmania,A and B,0
Aug 1 2014,Tasmania,Untyped,0
Aug 1 2014,Victoria,A(H1N1)pdm09,333
Aug 1 2014,Victoria,A(H3N2),5
Aug 1 2014,Victoria,A(unsubtyped),3017
Aug 1 2014,Victoria,B,118
Aug 1 2014,Victoria,C,5
Aug 1 2014,Victoria,A and B,8
Aug 1 2014,Victoria,Untyped,0
Aug 1 2014,Western Australia,A(H1N1)pdm09,772
Aug 1 2014,Western Australia,A(H3N2),458
Aug 1 2014,Western Australia,A(unsubtyped),509
Aug 1 2014,Western Australia,B,166
Aug 1 2014,Western Australia,C,0
Aug 1 2014,Western Australia,A and B,0
Aug 1 2014,Western Australia,Untyped,0
Sep 1 2014,New South Wales,A(H1N1)pdm09,188
Sep 1 2014,New South Wales,A(H3N2),466
Sep 1 2014,New South Wales,A(unsubtyped),2674
Sep 1 2014,New South Wales,B,848
Sep 1 2014,New South Wales,C,0
Sep 1 2014,New South Wales,A and B,11
Sep 1 2014,New South Wales,Untyped,4
Sep 1 2014,Northern Territory,A(H1N1)pdm09,15
Sep 1 2014,Northern Territory,A(H3N2),3
Sep 1 2014,Northern Territory,A(unsubtyped),168
Sep 1 2014,Northern Territory,B,7
Sep 1 2014,Northern Territory,C,0
Sep 1 2014,Northern Territory,A and B,0
Sep 1 2014,Northern Territory,Untyped,0
Sep 1 2014,Queensland,A(H1N1)pdm09,226
Sep 1 2014,Queensland,A(H3N2),221
Sep 1 2014,Queensland,A(unsubtyped),2811
Sep 1 2014,Queensland,B,695
Sep 1 2014,Queensland,C,0
Sep 1 2014,Queensland,A and B,0
Sep 1 2014,Queensland,Untyped,0
Sep 1 2014,South Australia,A(H1N1)pdm09,49
Sep 1 2014,South Australia,A(H3N2),0
Sep 1 2014,South Australia,A(unsubtyped),3649
Sep 1 2014,South Australia,B,274
Sep 1 2014,South Australia,C,0
Sep 1 2014,South Australia,A and B,0
Sep 1 2014,South Australia,Untyped,0
Sep 1 2014,Tasmania,A(H1N1)pdm09,38
Sep 1 2014,Tasmania,A(H3N2),37
Sep 1 2014,Tasmania,A(unsubtyped),70
Sep 1 2014,Tasmania,B,28
Sep 1 2014,Tasmania,C,0
Sep 1 2014,Tasmania,A and B,0
Sep 1 2014,Tasmania,Untyped,0
Sep 1 2014,Victoria,A(H1N1)pdm09,111
Sep 1 2014,Victoria,A(H3N2),10
Sep 1 2014,Victoria,A(unsubtyped),2478
Sep 1 2014,Victoria,B,123
Sep 1 2014,Victoria,C,5
Sep 1 2014,Victoria,A and B,1
Sep 1 2014,Victoria,Untyped,0
Sep 1 2014,Western Australia,A(H1N1)pdm09,354
Sep 1 2014,Western Australia,A(H3N2),216
Sep 1 2014,Western Australia,A(unsubtyped),359
Sep 1 2014,Western Australia,B,181
Sep 1 2014,Western Australia,C,0
Sep 1 2014,Western Australia,A and B,0
Sep 1 2014,Western Australia,Untyped,0
Oct 1 2014,New South Wales,A(H1N1)pdm09,26
Oct 1 2014,New South Wales,A(H3N2),56
Oct 1 2014,New South Wales,A(unsubtyped),499
Oct 1 2014,New South Wales,B,337
Oct 1 2014,New South Wales,C,0
Oct 1 2014,New South Wales,A and B,7
Oct 1 2014,New South Wales,Untyped,2
Oct 1 2014,Northern Territory,A(H1N1)pdm09,3
Oct 1 2014,Northern Territory,A(H3N2),19
Oct 1 2014,Northern Territory,A(unsubtyped),29
Oct 1 2014,Northern Territory,B,18
Oct 1 2014,Northern Territory,C,0
Oct 1 2014,Northern Territory,A and B,0
Oct 1 2014,Northern Territory,Untyped,0
Oct 1 2014,Queensland,A(H1N1)pdm09,58
Oct 1 2014,Queensland,A(H3N2),148
Oct 1 2014,Queensland,A(unsubtyped),751
Oct 1 2014,Queensland,B,356
Oct 1 2014,Queensland,C,0
Oct 1 2014,Queensland,A and B,0
Oct 1 2014,Queensland,Untyped,0
Oct 1 2014,South Australia,A(H1N1)pdm09,7
Oct 1 2014,South Australia,A(H3N2),0
Oct 1 2014,South Australia,A(unsubtyped),1077
Oct 1 2014,South Australia,B,131
Oct 1 2014,South Australia,C,0
Oct 1 2014,South Australia,A and B,0
Oct 1 2014,South Australia,Untyped,0
Oct 1 2014,Tasmania,A(H1N1)pdm09,6
Oct 1 2014,Tasmania,A(H3N2),9
Oct 1 2014,Tasmania,A(unsubtyped),17
Oct 1 2014,Tasmania,B,12
Oct 1 2014,Tasmania,C,0
Oct 1 2014,Tasmania,A and B,0
Oct 1 2014,Tasmania,Untyped,0
Oct 1 2014,Victoria,A(H1N1)pdm09,19
Oct 1 2014,Victoria,A(H3N2),8
Oct 1 2014,Victoria,A(unsubtyped),818
Oct 1 2014,Victoria,B,105
Oct 1 2014,Victoria,C,2
Oct 1 2014,Victoria,A and B,5
Oct 1 2014,Victoria,Untyped,0
Oct 1 2014,Western Australia,A(H1N1)pdm09,62
Oct 1 2014,Western Australia,A(H3N2),78
Oct 1 2014,Western Australia,A(unsubtyped),184
Oct 1 2014,Western Australia,B,112
Oct 1 2014,Western Australia,C,0
Oct 1 2014,Western Australia,A and B,0
Oct 1 2014,Western Australia,Untyped,0
Nov 1 2014,New South Wales,A(H1N1)pdm09,3
Nov 1 2014,New South Wales,A(H3N2),16
Nov 1 2014,New South Wales,A(unsubtyped),109
Nov 1 2014,New South Wales,B,68
Nov 1 2014,New South Wales,C,0
Nov 1 2014,New South Wales,A and B,4
Nov 1 2014,New South Wales,Untyped,0
Nov 1 2014,Northern Territory,A(H1N1)pdm09,2
Nov 1 2014,Northern Territory,A(H3N2),3
Nov 1 2014,Northern Territory,A(unsubtyped),7
Nov 1 2014,Northern Territory,B,8
Nov 1 2014,Northern Territory,C,0
